"white_username","black_username","white_rating","black_rating","white_result","time_class","time_control","rules","rated","Event","FirstMove"
"firebird247","2019Capsules",811,771,"win","blitz","300","chess","True","Live Chess""","d4"
"Benji905","ABakerMurray",693,723,"win","rapid","600","chess","True","Live Chess""","e4"
"A_cceleratoR","2good4u734",2299,2268,"win","bullet","60","chess","True","Live Chess""","e4"
"boske79","17naird1",1684,1620,"win","bullet","60","chess","True","Live Chess""","d4"
"abdo_001","TheAwkwardGuy",1395,1400,"win","bullet","60","chess","True","Live Chess""","e4"
"zaaaazzzzz","1952topps",1567,1576,"loss","bullet","120+1","chess","True","Live Chess""","d4"
"mennyhar","3141516",2043,2083,"win","blitz","300","chess","True","Live Chess""","e4"
"Fathan97","1UnknownP",572,565,"win","bullet","120+1","chess","True","Live Chess""","e3"
"qsztan","18lamts2",1274,1275,"win","blitz","300","chess","True","Live Chess""","d4"
"namanyoyo","AaliSyed",1478,1677,"win","bullet","60","chess","True","Live Chess""","e4"
"theBigLip","0marelsayed",1227,1217,"loss","blitz","180","chess","True","Live Chess""","e4"
"SandroGames","3_k14",474,1796,"win","bullet","30","chess","True","Live Chess""","e4"
"Crip93","1WannabeGM",823,827,"win","bullet","60","chess","True","Live Chess""","e4"
"Steevn","1000ChessJake",1181,1154,"win","blitz","180","chess","True","Live Chess""","e4"
"51fun","Kastetskjold",596,525,"win","bullet","60","chess","True","Live Chess""","e4"
"amrimedan","22Yossarian22",1667,1694,"win","blitz","300","chess","True","Live Chess""","d4"
"1UnknownP","Sandeeprv4",525,574,"loss","blitz","300","chess","True","Live Chess""","d4"
"AlexPouVilaseca","abbe77",717,747,"win","blitz","300","chess","True","Live Chess""","e4"
"AaliSyed","potluckadam",1688,1517,"loss","bullet","60","chess","True","Live Chess""","e4"
"4TLAS","TenthFlare",1827,1831,"win","bullet","60","chess","True","Live Chess""","d4"
"7Marky7","Asperger5",1109,1130,"loss","rapid","600","chess","True","Live Chess""","e3"
"1Ilikechess1","FrenchSniper007",1353,1292,"win","bullet","60","chess","True","Live Chess""","e4"
"ipskabhi123","40iqplayer",967,981,"loss","blitz","180","chess","True","Live Chess""","b4"
"Abdallah96Adel","Shshnk742",1327,1288,"win","rapid","600","chess","True","Live Chess""","e4"
"5432132","rapper6",930,937,"loss","blitz","180","chess","True","Live Chess""","e4"
"7Nemo","BALTZA",1244,1252,"loss","blitz","180","chess","True","Live Chess""","e4"
"avtandil271","abdulkadirbakari",1353,1332,"win","rapid","600","chess","True","Live Chess""","e4"
"1plus1equals3duh","Jardy79",858,2223,"loss","bullet","120+1","chess","False","Live Chess""","e4"
"PerdonKarpov","abbastemi",1357,1359,"win","blitz","300","chess","True","Live Chess""","d4"
"abdo_001","ananthan1994",1454,1410,"win","bullet","60","chess","True","Live Chess""","e4"
"15_tactical_15","ori6",1871,1873,"win","bullet","60","chess","True","Live Chess""","e4"
"5uk0","Sergeyul601",1044,1060,"loss","rapid","600","chess","True","Live Chess""","d4"
"25shaw5","Job_19",999,1034,"loss","blitz","180+2","chess","True","Live Chess""","c4"
"21_Ashish","Arman1995s",1146,1170,"loss","bullet","60","chess","True","Live Chess""","e4"
"vicentiko","15_tactical_15",1704,1698,"loss","blitz","180","chess","True","Live Chess""","e4"
"1976BRASILrecife","Noreasontohatetrees",1450,1450,"loss","rapid","600","chess","True","Live Chess""","e4"
"abdellhamid","shadow12358",1504,1605,"loss","bullet","30","chess","True","Live Chess""","e3"
"AaliSyed","bradleyfiree",1707,1821,"loss","bullet","60","chess","True","Live Chess""","e4"
"necmo52","aashishdev96",495,517,"loss","bullet","60","chess","True","Live Chess""","e4"
"Juanan2021","AbdoBaz",1220,1216,"loss","blitz","300","chess","True","Live Chess""","e4"
"ArturChessMood05","2980",1901,1885,"win","bullet","30","chess","True","Live Chess""","d3"
"boni0506","Aayush_mohan",1358,1407,"loss","blitz","180","chess","True","Live Chess""","e4"
"51fun","ZochoriFresh",629,538,"win","bullet","60","chess","True","Live Chess""","e4"
"218Media","andysang",277,472,"loss","blitz","600","chess","True","Live Chess""","e4"
"abay","Albeba",1539,1494,"win","blitz","300","chess","True","Live Chess""","e4"
"konskaz","6565dsd",1200,1151,"win","rapid","900+10","chess","True","Live Chess""","d4"
"minhgioivan","15_tactical_15",1622,1844,"win","bullet","30","chess","True","Live Chess""","d4"
"3lMata","Littlebit01",918,946,"loss","blitz","180","chess","True","Live Chess""","d4"
"mauiss","abdmoe",911,830,"win","blitz","600","chess","True","Live Chess""","e4"
"abdcode","lherminator",1329,1424,"loss","blitz","300","chess","True","Live Chess""","d4"
"0ratednogst","wolframesq",1785,1365,"loss","daily","1/259200","chess","True","King's Indian Defense - Round 1""","Nc3"
"77jose77","clg400",1129,1129,"loss","blitz","180","chess","True","Live Chess""","e4"
"RumsLee","abader91",1168,1186,"win","bullet","60","chess","True","Live Chess""","c3"
"greffern","09Gladiator09",947,1017,"win","bullet","60","chess","True","Live Chess""","e4"
"abdessattar2014","1norbiz1",1520,1619,"loss","blitz","180+2","chess","True","Live Chess""","e4"
"jashoda","2019Capsules",709,741,"loss","blitz","600","chess","True","Live Chess""","e4"
"Czech_Matt","9922212",1195,1238,"win","bullet","120+1","chess","True","Live Chess""","e4"
"420nico","kirkmo3",1004,961,"win","blitz","300","chess","True","Live Chess""","e4"
"AbdoBaz","polkop22",1274,1337,"loss","blitz","300","chess","True","Live Chess""","e4"
"Falling_Down","0pensh1ft",1044,1087,"loss","rapid","600","chess","True","Live Chess""","e3"
"4chess8mate","Putra_Gunung_Subang",1519,1482,"win","rapid","900+10","chess","True","Live Chess""","d4"
"GlobalSIKO","18Kent",1010,1069,"loss","blitz","180","chess","True","Live Chess""","e4"
"Raul93","aab1202",985,1059,"win","daily","1/259200","chess","True","56th Chess.com Tournament (1000-1199) - Round 1""","d4"
"0marTr","oliverarnesson",1012,1023,"win","bullet","120+1","chess","True","Live Chess""","d4"
"InsanCita","51fun",532,616,"loss","bullet","60","chess","True","Live Chess""","e4"
"CarlosAfedo","4chess8mate",1552,1547,"loss","rapid","600","chess","True","Live Chess""","a3"
"PrivateNessy","AbdoBaz",1129,1101,"win","blitz","300","chess","True","Live Chess""","d4"
"1885liam","oziel50",1788,1724,"win","rapid","600","chess","True","Live Chess""","d4"
"olivervitalicio","aahana",1315,1418,"win","bullet","60","chess","True","Live Chess""","e4"
"abdo_001","iphonecho",1505,1483,"win","bullet","60","chess","True","Live Chess""","e4"
"3dOJoda","Bssnator",931,820,"win","blitz","180+2","chess","True","Live Chess""","e4"
"1Orkhan1","charlymaximuspeon",1326,1300,"loss","blitz","300","chess","True","Live Chess""","d4"
"vivekfitkariwala","463316",1192,1192,"loss","blitz","600","chess","True","Live Chess""","d4"
"275Ranger","aahana",1133,1364,"loss","bullet","60","chess","True","Live Chess""","d4"
"17Astros","sccote",1319,1247,"win","blitz","180","chess","True","Live Chess""","e4"
"Abdodi","amitdhumal2803",2355,2197,"win","bullet","60","chess","True","Live Chess""","e4"
"pagman2342453298","589amf",1497,1346,"win","bullet","60+1","chess","True","Live Chess""","b4"
"Tweps","-basu-",1554,1540,"loss","rapid","600","chess","True","Live Chess""","d4"
"joy4unme","13litvin13",935,937,"win","blitz","300","chess","True","Live Chess""","Nf3"
"AbdoBaz","totonissa",1084,993,"loss","blitz","300","chess","True","Live Chess""","e4"
"pasakela","18860102",1563,1431,"loss","bullet","60","chess","True","Live Chess""","f4"
"4thehellofit","DREWCYSELLTAN",1105,1092,"loss","blitz","300","chess","True","Live Chess""","e4"
"68Roch","BoldIsland",1554,1524,"win","blitz","300","chess","True","Live Chess""","d4"
"09Gladiator09","ozhana",991,1026,"win","bullet","60","chess","True","Live Chess""","e3"
"out_the_world","aagneyageshshesh",1031,982,"win","rapid","600","chess","False","Live Chess""","e4"
"Aadarshchaudhary01","krzysztofg0813",1697,1592,"win","rapid","900+10","chess","True","Live Chess""","d4"
"VastoLordePy","abdo_001",1427,1428,"win","bullet","60","chess","True","Live Chess""","e4"
"SilverGuest","abc_420",1777,1746,"win","rapid","600","chess","True","Live Chess""","e4"
"GabryDream","77jose77",1074,1101,"loss","blitz","180","chess","True","Live Chess""","e4"
"kzlbrn","4TLAS",1813,1766,"loss","bullet","60","chess","True","Live Chess""","e3"
"AaliSyed","YanndeRo",1792,1595,"win","bullet","60","chess","True","Live Chess""","e4"
"beetledragon","1993Neha",960,284,"win","bullet","60","chess","True","Live Chess""","Nc3"
"jaydex80","79955005700",1285,1264,"win","rapid","900+10","chess","True","Live Chess""","e3"
"a2c4","hartjas1",1097,1069,"win","blitz","180","chess","True","Live Chess""","e4"
"DeboshirKnight","AaliSyed",1877,1751,"win","bullet","60","chess","True","Live Chess""","e4"
"135792468a","NhutNguyen0326",2013,1478,"win","rapid","600","chess","True","Live Chess""","d4"
"abdillahjunaidi","Jamboell",1776,1758,"loss","rapid","600","chess","True","Live Chess""","e3"
"heydar000","aaron1198",948,852,"win","rapid","900+10","chess","True","Live Chess""","d4"
"farhannugraha","0419202",1429,1433,"win","blitz","180","chess","True","Live Chess""","e4"
"1UnknownP","sjjonah",559,553,"loss","blitz","300","chess","True","Live Chess""","d4"
"09Gladiator09","MerlynBauri",990,929,"win","bullet","60","chess","True","Live Chess""","d3"
"23912lolly","mxxyd",1607,1906,"loss","bullet","60+1","chess","True","Live Chess""","e4"
"A-rnum-A","AlexisReba",1383,1309,"win","blitz","300","chess","False","Live Chess""","e4"
"abdo_001","Pawn2KingFour",1547,1537,"win","bullet","60","chess","True","Live Chess""","d3"
"2202kerg","Shawnpatrickyoung",1484,1434,"win","daily","1/86400","chess","True","Let's Play!""","e4"
"sikada22","123chesseasy12345",2003,1702,"win","bullet","60","chess","True","Live Chess""","d3"
"Stockmate","2TITAN7",1806,1767,"win","bullet","60","chess","True","Live Chess""","d4"
"AaliSyed","felixdavid",1642,1784,"loss","bullet","60","chess","True","Live Chess""","e4"
"shmyakk","8226503",918,947,"win","rapid","600","chess","True","Live Chess""","e4"
"abderaak","anuragmadasu",1292,1334,"loss","rapid","600","chess","True","Live Chess""","e4"
"manpants","313541sadas",875,857,"win","blitz","300","chess","True","Live Chess""","Nc3"
"Cess2","09Gladiator09",947,1069,"loss","bullet","60","chess","True","Live Chess""","e4"
"abbastemi","zamdn",1417,1460,"win","blitz","300+5","chess","True","Live Chess""","e4"
"rakeshrav","13e55i",829,872,"loss","blitz","180+2","chess","True","Live Chess""","e4"
"byrondupies2","AaliSyed",1633,1624,"loss","bullet","60","chess","True","Live Chess""","e4"
"aajayaa","rafkas",900,897,"loss","blitz","300+5","chess","True","Live Chess""","g3"
"V1CT0","A9-AlirEzA",1601,1639,"win","blitz","300","chess","True","Live Chess""","e4"
"Ceksid","abdo_001",1419,1458,"loss","bullet","60","chess","True","Live Chess""","d4"
"3_k14","Wauconda1",1799,1515,"win","bullet","30","chess","True","Live Chess""","e3"
"10nq1a0325","dan_patten",968,981,"win","blitz","180+2","chess","True","Live Chess""","e4"
"hooshmand49","6uifig3",627,309,"win","bullet","60","chess","True","Live Chess""","h3"
"JohnCyr","3o16oo",1631,1611,"win","blitz","180+2","chess","True","Live Chess""","e4"
"aaljayr11","Ret_Rom",2094,2087,"win","blitz","180","chess","True","Live Chess""","e4"
"CharlieMikeFoxtrot","abdolsamad111",1052,1145,"loss","blitz","180+2","chess","True","Live Chess""","e4"
"Sh1kamaruu","063401905",1961,2159,"loss","rapid","600","chess","True","Live Chess""","e4"
"Sir-Zazu","3rnestScribbler",491,511,"loss","blitz","180+2","chess","True","Live Chess""","e4"
"darthmater69","745H1N",994,972,"loss","rapid","600","chess","True","Live Chess""","d3"
"Nbkgctv","AaliSyed",1730,1731,"win","bullet","60","chess","True","Live Chess""","d3"
"1rajesh12","marckn",1199,1197,"win","blitz","180","chess","True","Live Chess""","d4"
"majidansari75","AAAMASTER123",1548,1546,"win","bullet","120+1","chess","True","Live Chess""","b3"
"Alphachez","aaa12345",766,701,"win","blitz","180","chess","True","Live Chess""","e4"
"hpds","5432132",1002,1029,"win","blitz","180","chess","True","Live Chess""","e4"
"4ldy27","DarmanGumay",1420,1376,"loss","blitz","180+2","chess","True","Live Chess""","e4"
"mbalay","abdillahjunaidi",1817,1845,"loss","rapid","600","chess","True","Live Chess""","e4"
"ABCchess0","AaravDps",1064,1077,"win","bullet","60","chess","True","Live Chess""","e4"
"Gabrielito123","AbdulazeezHamdan",1400,1366,"win","blitz","600","chess","True","Live Chess""","e4"
"SnowshineDog","3Angels",1757,1734,"loss","daily","1/259200","chess","True","5 for Fighting - French Defense - Round 1""","d3"
"Rttl_Snk","123456789000000",1754,1762,"loss","blitz","300","chess","True","Live Chess""","d4"
"25santiago29","jelmer665",1293,1353,"loss","bullet","60","chess","True","Live Chess""","e4"
"sedatdlkrn46","77jose77",1165,1101,"win","blitz","180","chess","True","Live Chess""","e4"
"LEXO_MATE","3lMata",915,910,"win","blitz","180","chess","True","Live Chess""","d3"
"2525pc","Pedrooo81",1655,1712,"loss","blitz","180+2","chess","True","Live Chess""","d4"
"mike5494","0freakonaleash",100,526,"loss","bullet","60","chess","True","Live Chess""","d4"
"topkibs","1Corinthians13",1282,1242,"win","blitz","180","chess","True","Live Chess""","e4"
"KIDoxees","13litvin13",882,875,"loss","blitz","300","chess","True","Live Chess""","g3"
"A-rnum-A","tarunSuman125",1492,1497,"win","rapid","600","chess","True","Live Chess""","e4"
"A1iM_1988","Zeroben0",1142,1186,"loss","blitz","180+2","chess","True","Live Chess""","c4"
"Fevanels","AbdoBaz",1095,1077,"win","blitz","300","chess","True","Live Chess""","e4"
"2Ke2_TH30RYz","blanca123",2187,2163,"loss","bullet","60","chess","False","Live Chess""","e4"
"Hani336","abbastemi",1379,1401,"loss","blitz","300","chess","True","Live Chess""","c3"
"MARC_MIR","21_Ashish",1143,1158,"win","bullet","60","chess","True","Live Chess""","d4"
"0marTr","IkasDarzh",1072,1088,"win","rapid","600","chess","True","Live Chess""","e4"
"Aadarshchaudhary01","kolmadz",1214,1156,"win","bullet","60","chess","True","Live Chess""","d4"
"erenalkan","210892",866,877,"loss","blitz","600","chess","True","Live Chess""","e4"
"revanth4444","1Corinthians13",1207,1218,"loss","blitz","180","chess","True","Live Chess""","d4"
"clogged_sphincter","1Ilikechess1",1475,1451,"win","bullet","60","chess","True","Live Chess""","e4"
"ATrafalgar","abdallaayash",1405,1376,"win","blitz","180","chess","True","Live Chess""","e4"
"sharkess","AbdoBaz",1196,1228,"win","blitz","300","chess","True","Live Chess""","e4"
"abcd3210","Popov_48",1332,1316,"win","bullet","60+1","chess","True","Live Chess""","d4"
"slipskis2202","379414cusdk8org",1118,1110,"win","blitz","300","chess","True","Live Chess""","e4"
"batscho77","10nq1a0325",607,609,"win","bullet","60","chess","True","Live Chess""","e4"
"Rolando621","88YH",867,821,"win","rapid","600","chess","True","Live Chess""","e4"
"albazzit","Abdallah96Adel",1307,1247,"win","rapid","600","chess","True","Live Chess""","e4"
"Tarigan97","abader91",1183,1183,"loss","bullet","60","chess","True","Live Chess""","e4"
"SpunkyPuppy","A-rnum-A",826,1389,"loss","blitz","300","chess","False","Live Chess""","d4"
"angrau5","88YH",787,827,"loss","rapid","600","chess","True","Live Chess""","e4"
"1Copenhagen","velikolepnyichelovek",1604,1679,"loss","blitz","300","chess","True","Live Chess""","d4"
"gaaba7","aadi155",861,869,"loss","blitz","300","chess","True","Live Chess""","e4"
"6cape","astewani",1235,1281,"loss","blitz","300","chess","True","Live Chess""","e4"
"PsyBomb","72showers",1087,974,"win","bullet","60","chess","True","Live Chess""","d4"
"40iqplayer","Warlord3D",922,976,"loss","blitz","180","chess","True","Live Chess""","e4"
"halukselcuk","123ret",1377,1395,"win","blitz","300","chess","True","Live Chess""","e4"
"1UnknownP","MVKNP",550,554,"win","blitz","300","chess","True","Live Chess""","d4"
"vasfranko","Aashikamor",1111,1123,"win","blitz","300","chess","True","Live Chess""","Nf3"
"674632718","GoldEight",1203,1220,"loss","blitz","300+5","chess","True","Live Chess""","d4"
"5tern","chessbill1989",1221,1090,"win","blitz","180","chess","True","Live Chess""","g3"
"alexjoseph6","42757",1250,1240,"loss","blitz","180","chess","True","Live Chess""","e4"
"karelB","abdessattar2014",1442,1513,"loss","blitz","180+2","chess","True","Live Chess""","e4"
"5uk0","LEO_GAMBIT",1048,1086,"loss","rapid","600","chess","True","Live Chess""","e4"
"KhaledArfa","8nevermore8",1602,1708,"loss","blitz","180+2","chess","True","Live Chess""","d4"
"giovanni0077","7iz7",1233,1203,"win","rapid","600","chess","True","Live Chess""","e4"
"18860102","RomeroChessPlayer",1404,1390,"loss","bullet","60","chess","True","Live Chess""","e4"
"mibotgame","51fun",693,629,"loss","bullet","60","chess","True","Live Chess""","e4"
"abdellhamid","YegorJ",1586,1612,"loss","bullet","30","chess","True","Live Chess""","e3"
"pkdnp","aadil_c",1568,1616,"loss","rapid","600","chess","True","Live Chess""","d4"
"JorikVartanov666","0rbr0",802,816,"loss","blitz","300","chess","True","Live Chess""","e4"
"77jose77","eldridgefriend",1082,1119,"loss","blitz","180","chess","True","Live Chess""","e4"
"shrekbsm","AaliSyed",1848,1740,"win","bullet","60","chess","True","Live Chess""","b3"
"eggsontoast","505KHAN",1017,969,"win","rapid","900+10","chess","True","Live Chess""","e4"
"aashutosh99","reyblanco01",674,699,"loss","bullet","60","chess","True","Live Chess""","d4"
"applettt","44mc44",1830,1794,"win","blitz","300","chess","True","Live Chess""","e4"
"Aneesh_Adiga_123","15_tactical_15",1648,1860,"loss","bullet","60","chess","True","Live Chess""","e4"
"AaronO1","barney1068",800,759,"loss","daily","1/86400","chess","True","Let's Play!""","Nh3"
"gokulsiddharth","907juice",1475,1432,"win","rapid","600","chess","True","Live Chess""","c4"
